%
[TOOLINF_L1]
N1 P0.3.9 E0.0 Q19 F0 S1 B0
N45 P0.0.0 E0.0 Q0 F0 S0 B0
N46 P0.0.0 E0.0 Q0 F0 S0 B0
N47 P0.0.0 E0.0 Q0 F0 S0 B0
N48 P0.0.0 E0.0 Q0 F0 S0 B0
N49 P0.0.0 E0.0 Q0 F0 S0 B0
N50 P0.0.0 E0.0 Q0 F0 S0 B0
N51 P0.0.0 E0.0 Q0 F0 S0 B0
N52 P0.0.0 E0.0 Q0 F0 S0 B0
N53 P0.0.0 E0.0 Q0 F0 S0 B0
N54 P0.0.0 E0.0 Q0 F0 S0 B0
N55 P0.0.0 E0.0 Q0 F0 S0 B0
N56 P0.0.0 E0.0 Q0 F0 S0 B0
N57 P0.0.0 E0.0 Q0 F0 S0 B0
N58 P0.0.0 E0.0 Q0 F0 S0 B0
N59 P0.0.0 E0.0 Q0 F0 S0 B0
N60 P0.0.0 E0.0 Q0 F0 S0 B0
N61 P0.0.0 E0.0 Q0 F0 S0 B0
N62 P0.0.0 E0.0 Q0 F0 S0 B0
N63 P0.0.0 E0.0 Q0 F0 S0 B0
N64 P0.0.0 E0.0 Q0 F0 S0 B0
N65 P0.0.0 E0.0 Q0 F0 S0 B0
N66 P0.0.0 E0.0 Q0 F0 S0 B0
N67 P0.0.0 E0.0 Q0 F0 S0 B0
N68 P0.0.0 E0.0 Q0 F0 S0 B0
N69 P0.0.0 E0.0 Q0 F0 S0 B0
N70 P0.0.0 E0.0 Q0 F0 S0 B0
N71 P0.0.0 E0.0 Q0 F0 S0 B0
N72 P0.0.0 E0.0 Q0 F0 S0 B0
N73 P0.0.0 E0.0 Q0 F0 S0 B0
N74 P0.0.0 E0.0 Q0 F0 S0 B0
N75 P0.0.0 E0.0 Q0 F0 S0 B0
N76 P0.0.0 E0.0 Q0 F0 S0 B0
N77 P0.0.0 E0.0 Q0 F0 S0 B0
N78 P0.0.0 E0.0 Q0 F0 S0 B0
N79 P0.0.0 E0.0 Q0 F0 S0 B0
N80 P0.0.0 E0.0 Q0 F0 S0 B0
N81 P0.0.0 E0.0 Q0 F0 S0 B0
N82 P0.0.0 E0.0 Q0 F0 S0 B0
N83 P0.0.0 E0.0 Q0 F0 S0 B0
N84 P0.0.0 E0.0 Q0 F0 S0 B0
N85 P0.0.0 E0.0 Q0 F0 S0 B0
N86 P0.0.0 E0.0 Q0 F0 S0 B0
N87 P0.0.0 E0.0 Q0 F0 S0 B0
N88 P0.0.0 E0.0 Q0 F0 S0 B0
N89 P0.0.0 E0.0 Q0 F0 S0 B0
N90 P0.0.0 E0.0 Q0 F0 S0 B0
N91 P0.0.0 E0.0 Q0 F0 S0 B0
N92 P0.0.0 E0.0 Q0 F0 S0 B0
N93 P0.0.0 E0.0 Q0 F0 S0 B0
N94 P0.0.0 E0.0 Q0 F0 S0 B0
N95 P0.0.0 E0.0 Q0 F0 S0 B0
N96 P0.0.0 E0.0 Q0 F0 S0 B0
N97 P0.0.0 E0.0 Q0 F0 S0 B0
N98 P0.0.0 E0.0 Q0 F0 S0 B0
N99 P0.0.0 E0.0 Q0 F0 S0 B0
N100 P0.0.0 E0.0 Q0 F0 S0 B0
N101 P0.0.0 E0.0 Q0 F0 S0 B0
N102 P0.0.0 E0.0 Q0 F0 S0 B0
N103 P0.0.0 E0.0 Q0 F0 S0 B0
N104 P0.0.0 E0.0 Q0 F0 S0 B0
N105 P0.0.0 E0.0 Q0 F0 S0 B0
N106 P0.0.0 E0.0 Q0 F0 S0 B0
N107 P0.0.0 E0.0 Q0 F0 S0 B0
N108 P0.0.0 E0.0 Q0 F0 S0 B0
N109 P0.0.0 E0.0 Q0 F0 S0 B0
N110 P0.0.0 E0.0 Q0 F0 S0 B0
N111 P0.0.0 E0.0 Q0 F0 S0 B0
N112 P0.0.0 E0.0 Q0 F0 S0 B0
N113 P0.0.0 E0.0 Q0 F0 S0 B0
N114 P0.0.0 E0.0 Q0 F0 S0 B0
N115 P0.0.0 E0.0 Q0 F0 S0 B0
N116 P0.0.0 E0.0 Q0 F0 S0 B0
N117 P0.0.0 E0.0 Q0 F0 S0 B0
N118 P0.0.0 E0.0 Q0 F0 S0 B0
N119 P0.0.0 E0.0 Q0 F0 S0 B0
N120 P0.0.0 E0.0 Q0 F0 S0 B0
N121 P0.0.0 E0.0 Q0 F0 S0 B0
N122 P0.0.0 E0.0 Q0 F0 S0 B0
N123 P0.0.0 E0.0 Q0 F0 S0 B0
N124 P0.0.0 E0.0 Q0 F0 S0 B0
N125 P0.0.0 E0.0 Q0 F0 S0 B0
N126 P0.0.0 E0.0 Q0 F0 S0 B0
N127 P0.0.0 E0.0 Q0 F0 S0 B0
N128 P0.0.0 E0.0 Q0 F0 S0 B0
N129 P0.0.0 E0.0 Q0 F0 S0 B0
N130 P0.0.0 E0.0 Q0 F0 S0 B0
N131 P0.0.0 E0.0 Q0 F0 S0 B0
N132 P0.0.0 E0.0 Q0 F0 S0 B0
N133 P0.0.0 E0.0 Q0 F0 S0 B0
N134 P0.0.0 E0.0 Q0 F0 S0 B0
N135 P0.0.0 E0.0 Q0 F0 S0 B0
N136 P0.0.0 E0.0 Q0 F0 S0 B0
N137 P0.0.0 E0.0 Q0 F0 S0 B0
N138 P0.0.0 E0.0 Q0 F0 S0 B0
N139 P0.0.0 E0.0 Q0 F0 S0 B0
N140 P0.0.0 E0.0 Q0 F0 S0 B0
N141 P0.0.0 E0.0 Q0 F0 S0 B0
N142 P0.0.0 E0.0 Q0 F0 S0 B0
N143 P0.0.0 E0.0 Q0 F0 S0 B0
N144 P0.0.0 E0.0 Q0 F0 S0 B0
N145 P0.0.0 E0.0 Q0 F0 S0 B0
N146 P0.0.0 E0.0 Q0 F0 S0 B0
N147 P0.0.0 E0.0 Q0 F0 S0 B0
N148 P0.0.0 E0.0 Q0 F0 S0 B0
N149 P0.0.0 E0.0 Q0 F0 S0 B0
N150 P0.0.0 E0.0 Q0 F0 S0 B0
N151 P0.0.0 E0.0 Q0 F0 S0 B0
N152 P0.0.0 E0.0 Q0 F0 S0 B0
N153 P0.0.0 E0.0 Q0 F0 S0 B0
N154 P0.0.0 E0.0 Q0 F0 S0 B0
N155 P0.0.0 E0.0 Q0 F0 S0 B0
N156 P0.0.0 E0.0 Q0 F0 S0 B0
N157 P0.0.0 E0.0 Q0 F0 S0 B0
N158 P0.0.0 E0.0 Q0 F0 S0 B0
N159 P0.0.0 E0.0 Q0 F0 S0 B0
N160 P0.0.0 E0.0 Q0 F0 S0 B0
N161 P0.0.0 E0.0 Q0 F0 S0 B0
N162 P0.0.0 E0.0 Q0 F0 S0 B0
N163 P0.0.0 E0.0 Q0 F0 S0 B0
N164 P0.0.0 E0.0 Q0 F0 S0 B0
N165 P0.0.0 E0.0 Q0 F0 S0 B0
N166 P0.0.0 E0.0 Q0 F0 S0 B0
N167 P0.0.0 E0.0 Q0 F0 S0 B0
N168 P0.0.0 E0.0 Q0 F0 S0 B0
N169 P0.0.0 E0.0 Q0 F0 S0 B0
N170 P0.0.0 E0.0 Q0 F0 S0 B0
N171 P0.0.0 E0.0 Q0 F0 S0 B0
N172 P0.0.0 E0.0 Q0 F0 S0 B0
N173 P0.0.0 E0.0 Q0 F0 S0 B0
N174 P0.0.0 E0.0 Q0 F0 S0 B0
N175 P0.0.0 E0.0 Q0 F0 S0 B0
N176 P0.0.0 E0.0 Q0 F0 S0 B0
N177 P0.0.0 E0.0 Q0 F0 S0 B0
N178 P0.0.0 E0.0 Q0 F0 S0 B0
N179 P0.0.0 E0.0 Q0 F0 S0 B0
N180 P0.0.0 E0.0 Q0 F0 S0 B0
N181 P0.0.0 E0.0 Q0 F0 S0 B0
N182 P0.0.0 E0.0 Q0 F0 S0 B0
N183 P0.0.0 E0.0 Q0 F0 S0 B0
N184 P0.0.0 E0.0 Q0 F0 S0 B0
N185 P0.0.0 E0.0 Q0 F0 S0 B0
N186 P0.0.0 E0.0 Q0 F0 S0 B0
N187 P0.0.0 E0.0 Q0 F0 S0 B0
N188 P0.0.0 E0.0 Q0 F0 S0 B0
N189 P0.0.0 E0.0 Q0 F0 S0 B0
N190 P0.0.0 E0.0 Q0 F0 S0 B0
N191 P0.0.0 E0.0 Q0 F0 S0 B0
N192 P0.0.0 E0.0 Q0 F0 S0 B0
N193 P0.0.0 E0.0 Q0 F0 S0 B0
N194 P0.0.0 E0.0 Q0 F0 S0 B0
N195 P0.0.0 E0.0 Q0 F0 S0 B0
N196 P0.0.0 E0.0 Q0 F0 S0 B0
N197 P0.0.0 E0.0 Q0 F0 S0 B0
N198 P0.0.0 E0.0 Q0 F0 S0 B0
N199 P0.0.0 E0.0 Q0 F0 S0 B0
N200 P0.0.0 E0.0 Q0 F0 S0 B0
N201 P0.0.0 E0.0 Q0 F0 S0 B0
N202 P0.0.0 E0.0 Q0 F0 S0 B0
N203 P0.0.0 E0.0 Q0 F0 S0 B0
N204 P0.0.0 E0.0 Q0 F0 S0 B0
N205 P0.0.0 E0.0 Q0 F0 S0 B0
N206 P0.0.0 E0.0 Q0 F0 S0 B0
N207 P0.0.0 E0.0 Q0 F0 S0 B0
N208 P0.0.0 E0.0 Q0 F0 S0 B0
N209 P0.0.0 E0.0 Q0 F0 S0 B0
N210 P0.0.0 E0.0 Q0 F0 S0 B0
N211 P0.0.0 E0.0 Q0 F0 S0 B0
N212 P0.0.0 E0.0 Q0 F0 S0 B0
N213 P0.0.0 E0.0 Q0 F0 S0 B0
N214 P0.0.0 E0.0 Q0 F0 S0 B0
N215 P0.0.0 E0.0 Q0 F0 S0 B0
N216 P0.0.0 E0.0 Q0 F0 S0 B0
N217 P0.0.0 E0.0 Q0 F0 S0 B0
N218 P0.0.0 E0.0 Q0 F0 S0 B0
N219 P0.0.0 E0.0 Q0 F0 S0 B0
N220 P0.0.0 E0.0 Q0 F0 S0 B0
N221 P0.0.0 E0.0 Q0 F0 S0 B0
N222 P0.0.0 E0.0 Q0 F0 S0 B0
N223 P0.0.0 E0.0 Q0 F0 S0 B0
N224 P0.0.0 E0.0 Q0 F0 S0 B0
N225 P0.0.0 E0.0 Q0 F0 S0 B0
N226 P0.0.0 E0.0 Q0 F0 S0 B0
N227 P0.0.0 E0.0 Q0 F0 S0 B0
N228 P0.0.0 E0.0 Q0 F0 S0 B0
N229 P0.0.0 E0.0 Q0 F0 S0 B0
N230 P0.0.0 E0.0 Q0 F0 S0 B0
N231 P0.0.0 E0.0 Q0 F0 S0 B0
N232 P0.0.0 E0.0 Q0 F0 S0 B0
N233 P0.0.0 E0.0 Q0 F0 S0 B0
N234 P0.0.0 E0.0 Q0 F0 S0 B0
N235 P0.0.0 E0.0 Q0 F0 S0 B0
N236 P0.0.0 E0.0 Q0 F0 S0 B0
N237 P0.0.0 E0.0 Q0 F0 S0 B0
N238 P0.0.0 E0.0 Q0 F0 S0 B0
N239 P0.0.0 E0.0 Q0 F0 S0 B0
N240 P0.0.0 E0.0 Q0 F0 S0 B0
N241 P0.0.0 E0.0 Q0 F0 S0 B0
N242 P0.0.0 E0.0 Q0 F0 S0 B0
N243 P0.0.0 E0.0 Q0 F0 S0 B0
N244 P0.0.0 E0.0 Q0 F0 S0 B0
N245 P0.0.0 E0.0 Q0 F0 S0 B0
N246 P0.0.0 E0.0 Q0 F0 S0 B0
N247 P0.0.0 E0.0 Q0 F0 S0 B0
N248 P0.0.0 E0.0 Q0 F0 S0 B0
N249 P0.0.0 E0.0 Q0 F0 S0 B0
N250 P0.0.0 E0.0 Q0 F0 S0 B0
N251 P0.0.0 E0.0 Q0 F0 S0 B0
N252 P0.0.0 E0.0 Q0 F0 S0 B0
N253 P0.0.0 E0.0 Q0 F0 S0 B0
N254 P0.0.0 E0.0 Q0 F0 S0 B0
N255 P0.0.0 E0.0 Q0 F0 S0 B0
N256 P0.0.0 E0.0 Q0 F0 S0 B0
[TOOLOFS]
G10L10P1X-272.130Z0.000Y-378.070E0.000R0.000Q0
G10L11P1X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P2X-272.115Z0.000Y-321.040E0.000R0.400Q0
G10L11P2X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P3X-272.150Z0.000Y-264.095E0.000R0.200Q0
G10L11P3X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P4X-58.290Z-43.630Y-402.515E0.000R0.000Q0
G10L11P4X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P5X-38.700Z-43.630Y-345.520E0.000R0.000Q0
G10L11P5X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P6X-63.830Z-43.630Y-288.510E0.000R0.000Q0
G10L11P6X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P7X-50.360Z-43.700Y-378.005E0.000R0.000Q0
G10L11P7X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P8X0.000Z0.000Y-321.010E0.000R0.000Q0
G10L11P8X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P9X-49.970Z-42.980Y-264.000E0.000R0.000Q0
G10L11P9X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P10X-272.085Z0.000Y-402.490E0.000R0.000Q0
G10L11P10X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P11X-272.275Z0.000Y-345.480E0.000R0.000Q0
G10L11P11X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P12X-272.055Z0.000Y-288.495E0.000R0.000Q0
G10L11P12X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P13X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P13X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P14X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P14X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P15X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P15X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P16X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P16X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P17X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P17X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P18X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P18X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P19X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P19X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P20X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P20X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P21X-274.912Z48.960Y-184.344E0.000R0.000Q0
G10L11P21X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P22X-274.902Z0.000Y-142.319E0.000R0.000Q0
G10L11P22X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P23X-283.460Z17.330Y-100.329E0.000R0.000Q0
G10L11P23X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P24X-274.922Z25.200Y-58.339E0.000R0.000Q0
G10L11P24X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P25X-274.937Z0.000Y-16.314E0.000R0.000Q0
G10L11P25X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P26X-284.210Z-28.200Y-184.329E0.000R0.000Q0
G10L11P26X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P27X-274.252Z0.000Y-142.294E0.000R0.000Q0
G10L11P27X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P28X-284.380Z-25.070Y-100.319E0.000R0.000Q0
G10L11P28X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P29X-191.242Z0.000Y-100.274E0.000R0.000Q0
G10L11P29X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P30X-160.000Z-5.000Y-8.400E0.000R0.000Q0
G10L11P30X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P31X-87.244Z0.000Y-198.214E0.000R0.000Q0
G10L11P31X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P32X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P32X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P33X-81.450Z0.000Y0.000E0.000R0.000Q0
G10L11P33X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P34X-66.440Z-291.326Y-98.276E0.000R0.100Q0
G10L11P34X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P35X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P35X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P36X-43.655Z-23.120Y-17.902E0.000R0.000Q0
G10L11P36X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P37X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P37X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P38X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P38X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P39X-84.210Z0.000Y-124.060E0.000R0.000Q0
G10L11P39X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P40X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P40X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P41X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P41X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P42X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P42X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P43X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P43X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P44X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P44X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P45X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P45X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P46X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P46X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P47X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P47X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P48X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P48X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P49X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P49X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P50X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P50X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P51X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P51X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P52X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P52X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P53X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P53X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P54X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P54X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P55X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P55X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P56X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P56X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P57X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P57X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P58X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P58X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P59X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P59X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P60X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P60X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P61X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P61X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P62X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P62X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P63X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P63X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P64X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P64X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P65X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P65X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P66X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P66X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P67X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P67X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P68X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P68X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P69X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P69X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P70X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P70X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P71X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P71X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P72X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P72X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P73X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P73X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P74X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P74X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P75X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P75X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P76X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P76X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P77X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P77X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P78X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P78X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P79X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P79X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P80X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P80X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P81X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P81X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P82X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P82X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P83X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P83X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P84X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P84X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P85X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P85X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P86X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P86X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P87X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P87X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P88X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P88X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P89X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P89X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P90X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P90X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P91X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P91X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P92X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P92X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P93X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P93X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P94X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P94X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P95X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P95X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P96X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P96X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P97X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P97X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P98X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P98X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P99X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P99X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P100X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P100X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P101X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P101X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P102X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P102X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P103X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P103X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P104X0.000Z0.000Y0.000E0.000R0.000Q0
G10L11P104X0.000Z0.000Y0.000E0.000R0.000Q0
G10L10P105X0.000Z0.000Y0.000E0.000R0.000Q0
